year,month,month_name,total_amount,period
2024,1,January,543120.43,Jan 2024
2024,2,February,513712.79,Feb 2024
2024,3,March,541213.26,Mar 2024
2024,4,April,545624.46,Apr 2024
2024,5,May,552700.82,May 2024
2024,6,June,548534.32,Jun 2024
2024,7,July,587135.76,Jul 2024
2024,8,August,519474.77,Aug 2024
2024,9,September,529067.12,Sep 2024
2024,10,October,529215.48,Oct 2024
2024,11,November,511353.41,Nov 2024
2024,12,December,566301.67,Dec 2024
2025,1,January,502918.44,Jan 2025
2025,2,February,460378.18,Feb 2025
2025,3,March,505664.69,Mar 2025
2025,4,April,531844.95,Apr 2025
2025,5,May,538676.95,May 2025
2025,6,June,507913.96,Jun 2025
2025,7,July,550200.98,Jul 2025
2025,8,August,511865.24,Aug 2025
2025,9,September,522376.37,Sep 2025
2025,10,October,521334.46,Oct 2025
2025,11,November,278040.44,Nov 2025
