order_id,total_quantity,order_value
O00000001,5,689.6600000000001
O00000002,4,1666.85
O00000003,4,665.0600000000001
O00000004,5,689.5000000000001
O00000005,4,860.5
O00000006,9,2258.3399999999997
O00000007,2,769.71
O00000008,1,15.21
O00000009,2,229.02
O00000010,2,107.63
O00000011,3,1016.61
O00000012,8,600.23
O00000013,1,15.87
O00000014,2,520.96
O00000015,7,1416.93
O00000016,1,127.42
O00000017,5,227.48
O00000018,5,601.16
O00000019,1,135.38
O00000020,4,398.84000000000003
O00000021,2,209.51
O00000022,2,1072.94
O00000023,1,119.02
O00000024,2,803.47
O00000025,5,521.99
O00000026,3,54.13
O00000027,2,495.94
O00000028,5,334.14
O00000029,5,950.63
O00000030,2,265.14
O00000031,6,4942.0599999999995
O00000032,1,194.49
O00000033,4,2028.8400000000001
O00000034,4,366.56
O00000035,3,55.44
O00000036,6,858.97
O00000037,1,19.77
O00000038,6,1797.9
O00000039,6,2803.64
O00000040,6,82.61
O00000041,1,67.1
O00000042,3,274.27000000000004
O00000043,1,351.45
O00000044,2,158.28
O00000045,2,124.94
O00000046,3,489.21
O00000047,1,852.12
O00000048,2,834.5500000000001
O00000049,4,217.17000000000002
O00000050,1,225.99
O00000051,3,49.589999999999996
O00000052,9,834.6600000000001
O00000053,6,593.6700000000001
O00000054,1,133.02
O00000055,2,188.7
O00000056,4,229.11
O00000057,2,18.64
O00000058,1,31.39
O00000059,3,93.94
O00000060,1,24.35
O00000061,3,1058.07
O00000062,6,1591.9999999999998
O00000063,6,1087.18
O00000064,4,1269.08
O00000065,8,1313.93
O00000066,5,1493.5900000000001
O00000067,2,197.82999999999998
O00000068,3,403.18
O00000069,9,2659.83
O00000070,9,2118.73
O00000071,7,222.12
O00000072,4,586.48
O00000073,1,48.09
O00000074,1,52.93
O00000075,6,420.44
O00000076,5,357.15999999999997
O00000077,3,1836.0
O00000078,1,186.4
O00000079,5,1266.9499999999998
O00000080,1,383.26
O00000081,5,777.99
O00000082,3,1206.21
O00000083,2,25.52
O00000084,2,77.27000000000001
O00000085,1,661.52
O00000086,3,281.05
O00000087,1,168.44
O00000088,3,83.17
O00000089,2,751.36
O00000090,4,57.099999999999994
O00000091,3,1707.4099999999999
O00000092,2,253.86
O00000093,2,95.4
O00000094,1,14.99
O00000095,1,52.87
O00000096,1,178.96
O00000097,1,100.3
O00000098,3,1435.2
O00000099,6,256.9
O00000100,3,1583.93
O00000101,4,312.65
O00000102,6,544.65
O00000103,3,226.13
O00000104,2,459.63
O00000105,2,164.91
O00000106,1,153.71
O00000107,1,91.42
O00000108,2,973.82
O00000109,1,103.67
O00000110,4,808.0999999999999
O00000111,2,126.05000000000001
O00000112,3,1226.5900000000001
O00000113,1,71.4
O00000114,2,114.08
O00000115,3,183.95000000000002
O00000116,5,263.98
O00000117,3,22.380000000000003
O00000118,4,231.79999999999998
O00000119,1,71.07
O00000120,1,354.29
O00000121,1,74.93
O00000122,3,292.52
O00000123,1,132.13
O00000124,5,1541.8700000000001
O00000125,1,1423.47
O00000126,3,840.44
O00000127,4,321.85
O00000128,1,39.0
O00000129,6,587.55
O00000130,1,390.56
O00000131,1,36.54
O00000132,1,183.58
O00000133,1,71.59
O00000134,4,35.22
O00000135,7,359.64
O00000136,2,327.99
O00000137,2,192.38
O00000138,6,2154.33
O00000139,5,1245.6000000000001
O00000140,1,122.6
O00000141,2,515.89
O00000142,3,781.14
O00000143,4,1097.97
O00000144,1,71.52
O00000145,2,271.52
O00000146,1,654.76
O00000147,6,1854.44
O00000148,2,675.0899999999999
O00000149,3,373.82
O00000150,3,266.04
O00000151,3,324.71
O00000152,4,1129.3400000000001
O00000153,2,186.2
O00000154,1,26.49
O00000155,3,142.27
O00000156,2,32.48
O00000157,1,698.45
O00000158,4,404.45
O00000159,1,387.23
O00000160,1,105.34
O00000161,2,351.66
O00000162,7,4995.83
O00000163,4,443.54
O00000164,7,415.45
O00000165,7,1109.33
O00000166,5,184.12
O00000167,1,96.97
O00000168,2,49.91
O00000169,2,462.02000000000004
O00000170,3,811.41
O00000171,1,31.72
O00000172,4,150.82999999999998
O00000173,3,906.1800000000001
O00000174,5,1043.9
O00000175,4,694.46
O00000176,6,566.87
O00000177,2,675.6
O00000178,3,215.91
O00000179,4,781.28
O00000180,9,802.3
O00000181,2,38.58
O00000182,4,246.7
O00000183,2,372.58000000000004
O00000184,1,125.02
O00000185,3,394.93
O00000186,1,29.41
O00000187,4,534.92
O00000188,1,52.77
O00000189,7,1184.86
O00000190,2,333.28
O00000191,3,1345.24
O00000192,1,173.94
O00000193,1,1248.13
O00000194,1,26.54
O00000195,4,567.1800000000001
O00000196,4,35.46
O00000197,1,26.54
O00000198,6,409.49
O00000199,4,897.79
O00000200,1,26.74
O00000201,1,72.87
O00000202,1,80.56
O00000203,2,232.98
O00000204,5,3590.85
O00000205,3,98.6
O00000206,5,4116.650000000001
O00000207,5,173.81
O00000208,1,119.52
O00000209,3,345.35
O00000210,2,881.99
O00000211,2,124.94999999999999
O00000212,5,504.41999999999996
O00000213,4,1205.79
O00000214,2,156.98000000000002
O00000215,7,430.40999999999997
O00000216,3,195.45
O00000217,2,1459.03
O00000218,4,191.54
O00000219,2,1826.06
O00000220,6,5220.209999999999
O00000221,3,1221.05
O00000222,2,119.3
O00000223,1,151.5
O00000224,4,160.9
O00000225,1,20.93
O00000226,3,428.09999999999997
O00000227,2,119.12
O00000228,1,132.71
O00000229,2,96.44
O00000230,1,73.31
O00000231,4,369.79
O00000232,2,120.02000000000001
O00000233,2,370.71000000000004
O00000234,4,122.01
O00000235,2,38.82
O00000236,1,5.35
O00000237,3,923.63
O00000238,1,17.65
O00000239,2,74.06
O00000240,6,1145.95
O00000241,4,226.31
O00000242,2,446.69
O00000243,1,62.47
O00000244,3,183.45
O00000245,1,92.24
O00000246,2,89.14
O00000247,4,533.01
O00000248,1,350.41
O00000249,4,346.41
O00000250,3,320.01
O00000251,4,1766.22
O00000252,7,1073.36
O00000253,2,725.28
O00000254,3,266.98
O00000255,5,1042.0
O00000256,4,360.78
O00000257,2,396.9
O00000258,4,759.4
O00000259,2,134.2
O00000260,5,83.16
O00000261,4,1144.05
O00000262,6,538.6300000000001
O00000263,1,20.77
O00000264,10,1988.2600000000002
O00000265,2,43.46
O00000266,3,272.57
O00000267,8,509.86
O00000268,2,82.0
O00000269,2,205.38
O00000270,1,846.61
O00000271,4,357.98
O00000272,5,3930.2599999999998
O00000273,1,163.08
O00000274,3,465.6
O00000275,2,79.34
O00000276,6,920.84
O00000277,3,782.18
O00000278,4,2295.05
O00000279,5,2210.19
O00000280,1,21.18
O00000281,3,1032.53
O00000282,2,2094.36
O00000283,1,390.19
O00000284,2,2650.12
O00000285,4,258.51
O00000286,3,1831.44
O00000287,1,67.27
O00000288,2,215.49
O00000289,6,3917.1400000000003
O00000290,3,199.8
O00000291,5,778.39
O00000292,5,581.2399999999999
O00000293,3,252.46999999999997
O00000294,6,827.12
O00000295,1,2337.85
O00000296,2,200.12
O00000297,4,1615.94
O00000298,5,346.68
O00000299,1,101.71
O00000300,2,23.540000000000003
O00000301,6,1522.12
O00000302,2,394.71000000000004
O00000303,4,173.89999999999998
O00000304,5,445.99
O00000305,3,292.26
O00000306,8,756.87
O00000307,3,2204.17
O00000308,1,3.57
O00000309,3,837.81
O00000310,2,242.47
O00000311,7,1175.69
O00000312,5,1113.78
O00000313,3,313.65
O00000314,1,54.83
O00000315,5,633.59
O00000316,8,2460.4300000000003
O00000317,2,42.36
O00000318,2,180.25
O00000319,1,366.84
O00000320,1,438.46
O00000321,1,160.19
O00000322,2,133.04
O00000323,5,917.02
O00000324,1,104.55
O00000325,1,9.1
O00000326,3,543.3900000000001
O00000327,1,113.45
O00000328,2,45.67
O00000329,3,1594.59
O00000330,4,145.17
O00000331,2,238.04
O00000332,3,271.18
O00000333,1,65.0
O00000334,2,119.1
O00000335,2,177.48
O00000336,3,243.35
O00000337,2,264.65000000000003
O00000338,1,377.51
O00000339,1,26.76
O00000340,8,369.28
O00000341,3,1539.96
O00000342,2,1656.18
O00000343,2,25.58
O00000344,3,142.17
O00000345,1,638.51
O00000346,4,741.03
O00000347,5,131.88
O00000348,5,629.79
O00000349,5,1242.87
O00000350,4,73.64
O00000351,4,121.87
O00000352,3,237.79
O00000353,4,373.43
O00000354,1,97.47
O00000355,1,31.43
O00000356,1,1407.61
O00000357,2,1315.5
O00000358,2,702.9
O00000359,3,45.07
O00000360,3,382.77
O00000361,4,654.1
O00000362,8,1932.49
O00000363,1,39.34
O00000364,2,30.66
O00000365,4,1714.3799999999999
O00000366,2,125.92
O00000367,1,192.22
O00000368,4,680.04
O00000369,1,338.49
O00000370,11,3716.4000000000005
O00000371,5,387.71
O00000372,3,58.53
O00000373,3,1774.6599999999999
O00000374,7,1896.22
O00000375,1,65.31
O00000376,5,758.64
O00000377,2,99.68
O00000378,4,178.31
O00000379,2,407.14
O00000380,6,2688.09
O00000381,3,1440.7700000000002
O00000382,2,240.66
O00000383,4,1333.52
O00000384,1,35.56
O00000385,2,369.96
O00000386,1,323.14
O00000387,8,742.73
O00000388,2,282.68
O00000389,4,1907.1
O00000390,1,5.35
O00000391,2,1145.97
O00000392,4,361.37
O00000393,2,1043.24
O00000394,3,637.38
O00000395,6,1508.3500000000001
O00000396,4,1706.08
O00000397,1,893.72
O00000398,3,415.95
O00000399,1,894.8
O00000400,2,186.14
O00000401,2,72.72
O00000402,2,39.02
O00000403,2,271.98
O00000404,4,446.24
O00000405,1,7.85
O00000406,3,338.15000000000003
O00000407,1,167.07
O00000408,7,610.25
O00000409,3,747.66
O00000410,5,1842.85
O00000411,3,108.25999999999999
O00000412,7,2799.7
O00000413,1,100.66
O00000414,3,120.4
O00000415,1,1993.95
O00000416,8,831.31
O00000417,8,1649.19
O00000418,3,2660.31
O00000419,4,1612.52
O00000420,3,260.59000000000003
O00000421,3,149.76
O00000422,1,279.09
O00000423,8,4528.73
O00000424,5,2604.7799999999997
O00000425,3,891.49
O00000426,1,76.86
O00000427,2,146.97
O00000428,5,654.96
O00000429,1,197.07
O00000430,3,104.88
O00000431,1,95.08
O00000432,4,214.16
O00000433,1,166.64
O00000434,7,771.1500000000001
O00000435,3,882.3199999999999
O00000436,1,97.78
O00000437,4,397.65
O00000438,3,152.43
O00000439,1,71.91
O00000440,2,314.97
O00000441,8,765.03
O00000442,2,353.95
O00000443,3,105.24
O00000444,1,76.91
O00000445,4,119.88000000000001
O00000446,3,2845.08
O00000447,2,179.26999999999998
O00000448,8,658.01
O00000449,3,1507.35
O00000450,2,698.06
O00000451,4,238.47
O00000452,3,569.37
O00000453,1,570.1
O00000454,9,697.5
O00000455,1,460.66
O00000456,2,131.77
O00000457,7,372.04
O00000458,2,79.08
O00000459,1,120.32
O00000460,1,74.41
O00000461,3,545.8
O00000462,1,250.41
O00000463,1,85.29
O00000464,2,1235.7
O00000465,6,930.12
O00000466,4,307.18
O00000467,2,463.04999999999995
O00000468,4,562.76
O00000469,2,369.8
O00000470,3,1602.7
O00000471,2,141.68
O00000472,1,63.33
O00000473,2,195.79
O00000474,3,70.28
O00000475,7,1290.86
O00000476,4,115.24000000000001
O00000477,2,148.16
O00000478,3,461.02
O00000479,1,953.03
O00000480,3,968.6700000000001
O00000481,1,139.45
O00000482,4,257.01
O00000483,2,86.86
O00000484,2,177.78
O00000485,2,45.1
O00000486,1,11.71
O00000487,4,326.89
O00000488,2,747.8
O00000489,3,3584.82
O00000490,5,453.27000000000004
O00000491,8,757.22
O00000492,5,339.90999999999997
O00000493,3,918.96
O00000494,1,84.48
O00000495,4,849.3499999999999
O00000496,1,30.32
O00000497,3,780.8100000000001
O00000498,8,4068.17
O00000499,1,101.29
O00000500,4,514.21
O00000501,4,569.34
O00000502,1,130.31
O00000503,4,192.81
O00000504,3,241.87
O00000505,1,22.62
O00000506,5,119.4
O00000507,5,878.4100000000001
O00000508,3,842.3900000000001
O00000509,4,705.58
O00000510,2,1842.0
O00000511,4,3150.71
O00000512,1,177.88
O00000513,1,26.88
O00000514,2,302.68
O00000515,1,250.41
O00000516,1,119.52
O00000517,5,1471.73
O00000518,2,160.06
O00000519,6,375.71
O00000520,6,1416.85
O00000521,3,1725.9499999999998
O00000522,4,427.74
O00000523,5,305.12
O00000524,5,623.56
O00000525,1,97.68
O00000526,3,53.57
O00000527,2,149.76
O00000528,6,2656.92
O00000529,4,288.28
O00000530,2,833.56
O00000531,3,611.3
O00000532,4,189.37
O00000533,6,694.9300000000001
O00000534,2,585.0
O00000535,2,92.72
O00000536,6,428.54999999999995
O00000537,1,36.92
O00000538,2,164.31
O00000539,3,420.25
O00000540,5,391.67
O00000541,3,917.26
O00000542,1,24.1
O00000543,2,570.67
O00000544,2,1312.75
O00000545,5,103.89999999999999
O00000546,5,1833.6200000000001
O00000547,2,269.19
O00000548,4,1501.1299999999999
O00000549,1,31.94
O00000550,2,324.82
O00000551,1,1131.3
O00000552,1,64.95
O00000553,2,475.8
O00000554,2,498.14
O00000555,3,334.94000000000005
O00000556,7,2635.13
O00000557,5,1097.64
O00000558,9,2426.8199999999997
O00000559,6,230.32
O00000560,2,425.58
O00000561,1,2.48
O00000562,2,288.04
O00000563,2,562.78
O00000564,3,3382.41
O00000565,2,1658.65
O00000566,2,2117.96
O00000567,2,198.15
O00000568,4,600.26
O00000569,2,141.53
O00000570,1,926.42
O00000571,3,498.35999999999996
O00000572,2,9.74
O00000573,3,646.8
O00000574,2,171.81
O00000575,2,161.07
O00000576,1,2.75
O00000577,3,232.89
O00000578,3,148.86
O00000579,3,308.41
O00000580,3,130.05
O00000581,5,1040.9600000000003
O00000582,1,115.63
O00000583,1,22.53
O00000584,2,1006.86
O00000585,2,1597.2
O00000586,4,850.1
O00000587,3,352.96999999999997
O00000588,5,4251.38
O00000589,3,275.90999999999997
O00000590,2,1792.76
O00000591,5,3154.41
O00000592,2,1140.2
O00000593,1,110.71
O00000594,3,1957.91
O00000595,1,913.33
O00000596,3,1013.9599999999999
O00000597,3,449.68
O00000598,3,783.71
O00000599,1,1599.98
O00000600,2,362.24
O00000601,5,662.92
O00000602,1,112.6
O00000603,3,235.08
O00000604,1,244.44
O00000605,3,608.27
O00000606,3,260.01
O00000607,1,531.53
O00000608,2,127.2
O00000609,1,67.51
O00000610,4,696.0699999999999
O00000611,4,290.14
O00000612,7,1431.75
O00000613,4,56.08
O00000614,5,1129.23
O00000615,1,83.51
O00000616,3,281.73
O00000617,3,332.94
O00000618,2,103.22
O00000619,1,21.15
O00000620,5,1576.92
O00000621,6,2294.56
O00000622,1,92.99
O00000623,7,1892.21
O00000624,7,309.24
O00000625,1,43.7
O00000626,7,3555.56
O00000627,6,506.79
O00000628,2,782.61
O00000629,3,278.38
O00000630,1,600.89
O00000631,4,20.54
O00000632,7,3031.33
O00000633,1,8.99
O00000634,4,578.55
O00000635,1,133.58
O00000636,7,531.4200000000001
O00000637,3,218.32
O00000638,2,722.97
O00000639,3,221.04000000000002
O00000640,4,664.5500000000001
O00000641,1,52.53
O00000642,3,316.38
O00000643,5,1177.5
O00000644,2,64.12
O00000645,1,14.99
O00000646,2,649.96
O00000647,2,1149.67
O00000648,1,279.09
O00000649,3,2210.73
O00000650,1,43.39
O00000651,5,813.6400000000001
O00000652,1,29.9
O00000653,3,274.2
O00000654,1,39.0
O00000655,3,141.72
O00000656,3,306.66
O00000657,5,491.06000000000006
O00000658,1,492.64
O00000659,4,634.95
O00000660,2,407.66
O00000661,1,208.75
O00000662,1,117.72
O00000663,3,1636.0100000000002
O00000664,5,434.97
O00000665,1,25.73
O00000666,3,29.94
O00000667,6,158.03
O00000668,3,1554.1399999999999
O00000669,6,3395.7
O00000670,2,133.67000000000002
O00000671,2,77.84
O00000672,6,1656.88
O00000673,2,496.36
O00000674,4,3296.56
O00000675,7,3007.3500000000004
O00000676,3,358.32
O00000677,3,651.99
O00000678,3,829.8
O00000679,3,377.71000000000004
O00000680,1,82.69
O00000681,1,725.63
O00000682,1,24.37
O00000683,1,1217.83
O00000684,2,70.44
O00000685,7,764.69
O00000686,2,951.8
O00000687,3,1203.46
O00000688,5,369.77
O00000689,1,29.53
O00000690,4,1052.0
O00000691,8,1262.1
O00000692,1,19.55
O00000693,6,1211.15
O00000694,1,9.98
O00000695,1,69.46
O00000696,1,33.0
O00000697,4,205.57999999999998
O00000698,3,644.03
O00000699,2,261.9
O00000700,2,200.12
O00000701,5,199.98
O00000702,6,2389.58
O00000703,2,68.0
O00000704,2,128.44
O00000705,3,160.0
O00000706,1,329.14
O00000707,1,87.46
O00000708,1,64.23
O00000709,3,851.87
O00000710,6,2415.68
O00000711,3,286.31
O00000712,1,54.01
O00000713,3,761.04
O00000714,1,81.52
O00000715,7,1354.3
O00000716,2,111.52
O00000717,1,95.81
O00000718,3,228.19
O00000719,1,273.71
O00000720,2,5.84
O00000721,1,83.14
O00000722,1,118.8
O00000723,1,58.15
O00000724,3,126.87
O00000725,1,24.2
O00000726,1,455.43
O00000727,1,76.59
O00000728,3,63.44
O00000729,1,56.21
O00000730,2,26.06
O00000731,4,3394.2400000000002
O00000732,7,2840.2200000000003
O00000733,2,322.3
O00000734,1,412.67
O00000735,1,68.12
O00000736,1,99.26
O00000737,1,126.93
O00000738,1,198.0
O00000739,1,72.45
O00000740,4,223.52
O00000741,2,54.16
O00000742,6,680.24
O00000743,4,351.35
O00000744,7,6975.66
O00000745,3,400.74
O00000746,1,495.76
O00000747,1,612.23
O00000748,3,833.8000000000001
O00000749,3,2862.02
O00000750,7,433.49
O00000751,1,106.99
O00000752,5,1946.03
O00000753,2,289.68
O00000754,6,376.65
O00000755,1,168.05
O00000756,4,410.06
O00000757,3,562.07
O00000758,3,266.88
O00000759,6,640.88
O00000760,6,1326.43
O00000761,4,207.98000000000002
O00000762,3,535.01
O00000763,1,46.59
O00000764,9,941.03
O00000765,5,232.61
O00000766,2,509.48
O00000767,2,140.86
O00000768,1,45.55
O00000769,3,67.44
O00000770,1,10.62
O00000771,3,530.5600000000001
O00000772,2,418.37
O00000773,4,453.40000000000003
O00000774,2,93.62
O00000775,4,356.39
O00000776,2,170.77
O00000777,9,2689.64
O00000778,3,1436.36
O00000779,6,1002.26
O00000780,1,14.7
O00000781,4,1306.32
O00000782,2,411.42999999999995
O00000783,3,41.75
O00000784,1,21.46
O00000785,6,597.89
O00000786,4,165.21
O00000787,1,26.49
O00000788,4,653.76
O00000789,2,132.37
O00000790,1,658.35
O00000791,6,1269.3000000000002
O00000792,5,326.9
O00000793,1,438.46
O00000794,4,437.22
O00000795,2,196.39999999999998
O00000796,1,2.99
O00000797,2,324.3
O00000798,5,557.49
O00000799,3,421.81000000000006
O00000800,3,186.72
O00000801,3,777.6200000000001
O00000802,7,881.8199999999999
O00000803,1,69.5
O00000804,2,1292.6100000000001
O00000805,2,135.88
O00000806,1,53.16
O00000807,4,696.42
O00000808,5,1115.6799999999998
O00000809,3,304.08
O00000810,3,311.21
O00000811,1,83.76
O00000812,2,1428.63
O00000813,4,984.19
O00000814,6,1197.06
O00000815,2,48.2
O00000816,1,443.67
O00000817,1,59.97
O00000818,4,2024.6699999999998
O00000819,8,342.78
O00000820,3,2651.71
O00000821,8,739.24
O00000822,2,21.92
O00000823,3,291.13
O00000824,5,122.51
O00000825,3,479.02
O00000826,4,570.66
O00000827,1,50.3
O00000828,7,180.07
O00000829,4,766.76
O00000830,1,405.41
O00000831,4,635.48
O00000832,5,532.74
O00000833,1,85.2
O00000834,3,1629.93
